SummitCode,RegionName,SummitName,AltM,AltFt,Latitude,Longitude,Points,BonusPoints,ActivationCount,ParcelOwner1,Region1,ParcelOwner2,Region2,ParcelOwner3,Region3,ManualAccess,ComputedAccess,RFNearby,Notes 1,ValidFrom,ValidTo,CurrentlyActive,FAYear,FAMonth,FADay,FADate,FACalls
W7W/CH-080,WA-Chelan,Lyall Ridge,2371,7780,48.3057,-120.8813,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-081,WA-Chelan,7780 Big Lou,2371,7780,47.6392,-120.8474,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-082,WA-Chelan,Receiver Mtn,2371,7780,48.2256,-120.4697,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,30. Nov. 2016,FALSE,1899,12,30,,
W7W/CH-083,WA-Chelan,Ferry Peak,2370,7777,48.1338,-120.4015,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-084,WA-Chelan,Big Jim Mountain,2366,7763,47.6623,-120.8322,8,3,1,,,,,,,,,,,1. Dec. 2010,31. Dec. 2099,TRUE,2024,5,16,2024-05-16,KJ7RTO
W7W/CH-085,WA-Chelan,Hock Mountain,2362,7750,48.4515,-120.6669,8,3,0,NPS,North Cascades NP,NPS,Lake Chelan NRA,USFS,Okanogan NF,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-086,WA-Chelan,Mount Benzarino,2359,7740,48.4897,-120.8171,8,3,0,NPS,North Cascades NP,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-087,WA-Chelan,7738 Sideswiper Mtn,2359,7738,48.1502,-120.6387,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-088,WA-Chelan,Three Musketeers Ridge,2347,7700,47.5017,-120.7526,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
W7W/CH-089,WA-Chelan,7730 Mt Microphone,2356,7730,48.2718,-120.8066,8,3,0,USFS,Wenatchee NF,,,,,Open,Open,,,1. Dec. 2010,31. Dec. 2099,TRUE,1899,12,30,,
